Student_ID,Student_Query,Priority
S0097,Hostel accommodation query,Medium
S0098,Library timings inquiry,Low
S0099,Exam result not published,High
S0100,Academic calendar request,Low
S0101,Event information query,Low
S0102,Exam result not published,High
S0103,Elective subject change request,Medium
S0104,Campus map request,Low
S0105,Elective subject change request,Medium
S0106,Hall ticket not generated before exam,High
S0107,Campus map request,Low
S0108,Exam result not published,High
S0109,Missed exam due to medical emergency,High
S0110,Missed exam due to medical emergency,High
S0111,Elective subject change request,Medium
S0112,Hall ticket not generated before exam,High
S0113,Bonafide certificate request,Medium
S0114,Library timings inquiry,Low
S0115,Website navigation help,Low
S0116,Library access issue,Medium
S0117,Library timings inquiry,Low
S0118,Academic calendar request,Low
S0119,Hostel accommodation query,Medium
S0120,Campus map request,Low
S0121,Hostel accommodation query,Medium
S0122,Event information query,Low
S0123,Academic calendar request,Low
S0124,Missed exam due to medical emergency,High
S0125,Exam result not published,High
S0126,Library access issue,Medium
S0127,Campus map request,Low
S0128,Website navigation help,Low
S0129,Website navigation help,Low
S0130,Bonafide certificate request,Medium
S0131,Internship letter request,Medium
S0132,Library timings inquiry,Low
S0133,Academic calendar request,Low
S0134,Academic calendar request,Low
S0135,Library access issue,Medium
S0136,Website navigation help,Low
S0137,Academic calendar request,Low
S0138,Hall ticket not generated before exam,High
S0139,Hall ticket not generated before exam,High
S0140,Missed exam due to medical emergency,High
S0141,Hostel accommodation query,Medium
S0142,Website navigation help,Low
S0143,Website navigation help,Low
S0144,Missed exam due to medical emergency,High
S0145,Event information query,Low
S0146,Hall ticket not generated before exam,High
S0147,Internship letter request,Medium
S0148,Library access issue,Medium
S0149,Library timings inquiry,Low
S0150,Bonafide certificate request,Medium
S0151,Academic calendar request,Low
S0152,Library access issue,Medium
S0153,Library timings inquiry,Low
S0154,Library timings inquiry,Low
S0155,Hall ticket not generated before exam,High
S0156,Exam result not published,High
S0157,Elective subject change request,Medium
S0158,Scholarship not credited,High
S0159,Bonafide certificate request,Medium
S0160,Exam result not published,High
S0161,Campus map request,Low
S0162,Library access issue,Medium
S0163,Scholarship not credited,High
S0164,Library access issue,Medium
S0165,Internship letter request,Medium
S0166,Campus map request,Low
S0167,Library timings inquiry,Low
S0168,Academic calendar request,Low
S0169,Event information query,Low
S0170,Website navigation help,Low
S0171,Fee payment issue before deadline,High
S0172,Academic calendar request,Low
S0173,Internship letter request,Medium
S0174,Elective subject change request,Medium
S0175,Missed exam due to medical emergency,High
S0176,Event information query,Low
S0177,Scholarship not credited,High
S0178,Hall ticket not generated before exam,High
S0179,Fee payment issue before deadline,High
S0180,Website navigation help,Low
S0181,Hall ticket not generated before exam,High
S0182,Website navigation help,Low
S0183,Library timings inquiry,Low
S0184,Bonafide certificate request,Medium
S0185,Internship letter request,Medium
S0186,Website navigation help,Low
S0187,Fee payment issue before deadline,High
S0188,Internship letter request,Medium
S0189,Exam result not published,High
S0190,Hall ticket not generated before exam,High
S0191,Exam result not published,High
S0192,Elective subject change request,Medium
S0193,Bonafide certificate request,Medium
S0194,Internship letter request,Medium
S0195,Campus map request,Low
S0196,Academic calendar request,Low
S0197,Elective subject change request,Medium
S0198,Library timings inquiry,Low
S0199,Academic calendar request,Low
S0200,Academic calendar request,Low
S0201,Campus map request,Low
S0202,Library access issue,Medium
S0203,Bonafide certificate request,Medium
S0204,Hall ticket not generated before exam,High
S0205,Elective subject change request,Medium
S0206,Event information query,Low
S0207,Library timings inquiry,Low
S0208,Hall ticket not generated before exam,High
S0209,Website navigation help,Low
S0210,Internship letter request,Medium
S0211,Elective subject change request,Medium
S0212,Hall ticket not generated before exam,High
S0213,Campus map request,Low
S0214,Bonafide certificate request,Medium
S0215,Exam result not published,High
S0216,Event information query,Low
S0217,Website navigation help,Low
S0218,Hall ticket not generated before exam,High
S0219,Library timings inquiry,Low
S0220,Missed exam due to medical emergency,High
S0221,Scholarship not credited,High
S0222,Missed exam due to medical emergency,High
S0223,Exam result not published,High
S0224,Scholarship not credited,High
S0225,Library timings inquiry,Low
S0226,Hostel accommodation query,Medium
S0227,Library access issue,Medium
S0228,Library timings inquiry,Low
S0229,Bonafide certificate request,Medium
S0230,Bonafide certificate request,Medium
S0231,Hostel accommodation query,Medium
S0232,Bonafide certificate request,Medium
S0233,Hostel accommodation query,Medium
S0234,Library access issue,Medium
S0235,Campus map request,Low
S0236,Academic calendar request,Low
S0237,Fee payment issue before deadline,High
S0238,Internship letter request,Medium
S0239,Academic calendar request,Low
S0240,Library timings inquiry,Low
S0241,Fee payment issue before deadline,High
S0242,Internship letter request,Medium
S0243,Campus map request,Low
S0244,Bonafide certificate request,Medium
S0245,Library timings inquiry,Low
S0246,Hostel accommodation query,Medium
S0247,Library timings inquiry,Low
S0248,Hall ticket not generated before exam,High
S0249,Academic calendar request,Low
S0250,Hostel accommodation query,Medium
S0251,Website navigation help,Low
S0252,Campus map request,Low
S0253,Campus map request,Low
S0254,Website navigation help,Low
S0255,Fee payment issue before deadline,High
S0256,Event information query,Low
S0257,Elective subject change request,Medium
S0258,Campus map request,Low
S0259,Exam result not published,High
S0260,Hostel accommodation query,Medium
S0261,Campus map request,Low
S0262,Library timings inquiry,Low
S0263,Bonafide certificate request,Medium
S0264,Campus map request,Low
S0265,Campus map request,Low
S0266,Internship letter request,Medium
S0267,Library timings inquiry,Low
S0268,Academic calendar request,Low
S0269,Event information query,Low
S0270,Hostel accommodation query,Medium
S0271,Missed exam due to medical emergency,High
S0272,Website navigation help,Low
S0273,Hostel accommodation query,Medium
S0274,Academic calendar request,Low
S0275,Elective subject change request,Medium
S0276,Website navigation help,Low
S0277,Exam result not published,High
S0278,Campus map request,Low
S0279,Website navigation help,Low
S0280,Campus map request,Low
S0281,Scholarship not credited,High
S0282,Website navigation help,Low
S0283,Fee payment issue before deadline,High
S0284,Academic calendar request,Low
S0285,Exam result not published,High
S0286,Campus map request,Low
S0287,Event information query,Low
S0288,Scholarship not credited,High
S0289,Academic calendar request,Low
S0290,Elective subject change request,Medium
S0291,Fee payment issue before deadline,High
S0292,Academic calendar request,Low
S0293,Elective subject change request,Medium
S0294,Exam result not published,High
S0295,Library timings inquiry,Low
S0296,Exam result not published,High
S0297,Scholarship not credited,High
S0298,Bonafide certificate request,Medium
S0299,Library access issue,Medium
S0300,Bonafide certificate request,Medium
S0301,Campus map request,Low
S0302,Missed exam due to medical emergency,High
S0303,Website navigation help,Low
S0304,Fee payment issue before deadline,High
S0305,Library access issue,Medium
S0306,Elective subject change request,Medium
S0307,Exam result not published,High
S0308,Exam result not published,High
S0309,Fee payment issue before deadline,High
S0310,Bonafide certificate request,Medium
S0311,Library access issue,Medium
S0312,Elective subject change request,Medium
S0313,Library timings inquiry,Low
S0314,Fee payment issue before deadline,High
S0315,Elective subject change request,Medium
S0316,Library timings inquiry,Low
S0317,Library timings inquiry,Low
S0318,Hall ticket not generated before exam,High
S0319,Bonafide certificate request,Medium
S0320,Fee payment issue before deadline,High
S0321,Missed exam due to medical emergency,High
S0322,Bonafide certificate request,Medium
S0323,Scholarship not credited,High
S0324,Event information query,Low
S0325,Academic calendar request,Low
S0326,Library timings inquiry,Low
S0327,Elective subject change request,Medium
S0328,Elective subject change request,Medium
S0329,Missed exam due to medical emergency,High
S0330,Hall ticket not generated before exam,High
S0331,Hostel accommodation query,Medium
S0332,Internship letter request,Medium
S0333,Bonafide certificate request,Medium
S0334,Library access issue,Medium
S0335,Academic calendar request,Low
S0336,Missed exam due to medical emergency,High
S0337,Internship letter request,Medium
S0338,Missed exam due to medical emergency,High
S0339,Bonafide certificate request,Medium
S0340,Internship letter request,Medium
S0341,Bonafide certificate request,Medium
S0342,Internship letter request,Medium
S0343,Hostel accommodation query,Medium
S0344,Bonafide certificate request,Medium
S0345,Bonafide certificate request,Medium
S0346,Scholarship not credited,High
S0347,Library access issue,Medium
S0348,Campus map request,Low
S0349,Exam result not published,High
S0350,Scholarship not credited,High
S0351,Hall ticket not generated before exam,High
S0352,Exam result not published,High
S0353,Hostel accommodation query,Medium
S0354,Event information query,Low
S0355,Missed exam due to medical emergency,High
S0356,Campus map request,Low
S0357,Exam result not published,High
S0358,Exam result not published,High
S0359,Hostel accommodation query,Medium
S0360,Fee payment issue before deadline,High
S0361,Event information query,Low
S0362,Scholarship not credited,High
S0363,Library timings inquiry,Low
S0364,Scholarship not credited,High
S0365,Fee payment issue before deadline,High
S0366,Library access issue,Medium
S0367,Missed exam due to medical emergency,High
S0368,Fee payment issue before deadline,High
S0369,Event information query,Low
S0370,Hall ticket not generated before exam,High
S0371,Campus map request,Low
S0372,Fee payment issue before deadline,High
S0373,Hostel accommodation query,Medium
S0374,Library access issue,Medium
S0375,Scholarship not credited,High
S0376,Internship letter request,Medium
S0377,Elective subject change request,Medium
S0378,Internship letter request,Medium
S0379,Hall ticket not generated before exam,High
S0380,Fee payment issue before deadline,High
S0381,Elective subject change request,Medium
S0382,Hall ticket not generated before exam,High
S0383,Campus map request,Low
S0384,Bonafide certificate request,Medium
S0385,Missed exam due to medical emergency,High
S0386,Website navigation help,Low
S0387,Event information query,Low
S0388,Hostel accommodation query,Medium
S0389,Campus map request,Low
S0390,Event information query,Low
S0391,Event information query,Low
S0392,Hall ticket not generated before exam,High
S0393,Library access issue,Medium
S0394,Library timings inquiry,Low
S0395,Hall ticket not generated before exam,High
S0396,Missed exam due to medical emergency,High
S0397,Campus map request,Low
S0398,Internship letter request,Medium
S0399,Internship letter request,Medium
S0400,Bonafide certificate request,Medium
S0401,Library timings inquiry,Low
S0402,Hall ticket not generated before exam,High
S0403,Exam result not published,High
S0404,Fee payment issue before deadline,High
S0405,Website navigation help,Low
S0406,Bonafide certificate request,Medium
S0407,Scholarship not credited,High
S0408,Library access issue,Medium
S0409,Library timings inquiry,Low
S0410,Academic calendar request,Low
S0411,Fee payment issue before deadline,High
S0412,Internship letter request,Medium
S0413,Elective subject change request,Medium
S0414,Fee payment issue before deadline,High
S0415,Bonafide certificate request,Medium
S0416,Library timings inquiry,Low
S0417,Exam result not published,High
S0418,Hall ticket not generated before exam,High
S0419,Hall ticket not generated before exam,High
S0420,Fee payment issue before deadline,High
S0421,Scholarship not credited,High
S0422,Hall ticket not generated before exam,High
S0423,Website navigation help,Low
S0424,Library timings inquiry,Low
S0425,Exam result not published,High
S0426,Fee payment issue before deadline,High
S0427,Campus map request,Low
S0428,Library access issue,Medium
S0429,Missed exam due to medical emergency,High
S0430,Internship letter request,Medium
S0431,Academic calendar request,Low
S0432,Missed exam due to medical emergency,High
S0433,Website navigation help,Low
S0434,Internship letter request,Medium
S0435,Academic calendar request,Low
S0436,Hall ticket not generated before exam,High
S0437,Fee payment issue before deadline,High
S0438,Bonafide certificate request,Medium
S0439,Missed exam due to medical emergency,High
S0440,Internship letter request,Medium
S0441,Bonafide certificate request,Medium
S0442,Library timings inquiry,Low
S0443,Exam result not published,High
S0444,Elective subject change request,Medium
S0445,Library access issue,Medium
S0446,Academic calendar request,Low
S0447,Website navigation help,Low
S0448,Event information query,Low
S0449,Elective subject change request,Medium
S0450,Elective subject change request,Medium
S0451,Hostel accommodation query,Medium
S0452,Website navigation help,Low
S0453,Scholarship not credited,High
S0454,Elective subject change request,Medium
S0455,Hostel accommodation query,Medium
S0456,Missed exam due to medical emergency,High
S0457,Event information query,Low
S0458,Bonafide certificate request,Medium
S0459,Library access issue,Medium
S0460,Exam result not published,High
S0461,Academic calendar request,Low
S0462,Missed exam due to medical emergency,High
S0463,Bonafide certificate request,Medium
S0464,Elective subject change request,Medium
S0465,Event information query,Low
S0466,Scholarship not credited,High
S0467,Bonafide certificate request,Medium
S0468,Library timings inquiry,Low
S0469,Library access issue,Medium
S0470,Internship letter request,Medium
S0471,Internship letter request,Medium
S0472,Missed exam due to medical emergency,High
S0473,Website navigation help,Low
S0474,Scholarship not credited,High
S0475,Elective subject change request,Medium
S0476,Library timings inquiry,Low
S0477,Academic calendar request,Low
S0478,Website navigation help,Low
S0479,Missed exam due to medical emergency,High
S0480,Campus map request,Low
S0481,Fee payment issue before deadline,High
S0482,Missed exam due to medical emergency,High
S0483,Exam result not published,High
S0484,Library access issue,Medium
S0485,Campus map request,Low
S0486,Website navigation help,Low
S0487,Hall ticket not generated before exam,High
S0488,Bonafide certificate request,Medium
S0489,Internship letter request,Medium
S0490,Elective subject change request,Medium
S0491,Elective subject change request,Medium
S0492,Academic calendar request,Low
S0493,Scholarship not credited,High
S0494,Exam result not published,High
S0495,Bonafide certificate request,Medium
S0496,Scholarship not credited,High
S0497,Event information query,Low
S0498,Scholarship not credited,High
S0499,Library access issue,Medium
S0500,Academic calendar request,Low
S0501,Website navigation help,Low
S0502,Elective subject change request,Medium
S0503,Exam result not published,High
S0504,Event information query,Low
S0505,Academic calendar request,Low
S0506,Elective subject change request,Medium
S0507,Exam result not published,High
S0508,Hostel accommodation query,Medium
S0509,Website navigation help,Low
S0510,Library access issue,Medium
S0511,Website navigation help,Low
S0512,Website navigation help,Low
S0513,Scholarship not credited,High
S0514,Campus map request,Low
S0515,Scholarship not credited,High
S0516,Elective subject change request,Medium
S0517,Hostel accommodation query,Medium
S0518,Hall ticket not generated before exam,High
S0519,Bonafide certificate request,Medium
S0520,Library access issue,Medium
S0521,Elective subject change request,Medium
S0522,Exam result not published,High
S0523,Missed exam due to medical emergency,High
S0524,Missed exam due to medical emergency,High
S0525,Website navigation help,Low
S0526,Academic calendar request,Low
S0527,Campus map request,Low
S0528,Library timings inquiry,Low
S0529,Hostel accommodation query,Medium
S0530,Fee payment issue before deadline,High
S0531,Hostel accommodation query,Medium
S0532,Event information query,Low
S0533,Campus map request,Low
S0534,Academic calendar request,Low
S0535,Missed exam due to medical emergency,High
S0536,Bonafide certificate request,Medium
S0537,Elective subject change request,Medium
S0538,Scholarship not credited,High
S0539,Website navigation help,Low
S0540,Bonafide certificate request,Medium
S0541,Exam result not published,High
S0542,Campus map request,Low
S0543,Event information query,Low
S0544,Elective subject change request,Medium
S0545,Hostel accommodation query,Medium
S0546,Academic calendar request,Low
S0547,Library timings inquiry,Low
S0548,Website navigation help,Low
S0549,Hostel accommodation query,Medium
S0550,Scholarship not credited,High
S0551,Website navigation help,Low
S0552,Bonafide certificate request,Medium
S0553,Hall ticket not generated before exam,High
S0554,Website navigation help,Low
S0555,Hall ticket not generated before exam,High
S0556,Missed exam due to medical emergency,High
S0557,Hall ticket not generated before exam,High
S0558,Library timings inquiry,Low
S0559,Academic calendar request,Low
S0560,Exam result not published,High
S0561,Event information query,Low
S0562,Fee payment issue before deadline,High
S0563,Library access issue,Medium
S0564,Academic calendar request,Low
S0565,Campus map request,Low
S0566,Scholarship not credited,High
S0567,Exam result not published,High
S0568,Bonafide certificate request,Medium
S0569,Hall ticket not generated before exam,High
S0570,Fee payment issue before deadline,High
S0571,Hall ticket not generated before exam,High
S0572,Library timings inquiry,Low
S0573,Event information query,Low
S0574,Website navigation help,Low
S0575,Hostel accommodation query,Medium
S0576,Elective subject change request,Medium
S0577,Missed exam due to medical emergency,High
S0578,Campus map request,Low
S0579,Campus map request,Low
S0580,Elective subject change request,Medium
S0581,Academic calendar request,Low
S0582,Elective subject change request,Medium
S0583,Hall ticket not generated before exam,High
S0584,Website navigation help,Low
S0585,Exam result not published,High
S0586,Library timings inquiry,Low
S0587,Scholarship not credited,High
S0588,Academic calendar request,Low
S0589,Event information query,Low
S0590,Bonafide certificate request,Medium
S0591,Academic calendar request,Low
S0592,Scholarship not credited,High
S0593,Bonafide certificate request,Medium
S0594,Fee payment issue before deadline,High
S0595,Library access issue,Medium
S0596,Missed exam due to medical emergency,High
S0597,Hall ticket not generated before exam,High
S0598,Campus map request,Low
S0599,Academic calendar request,Low
S0600,Library access issue,Medium
S0601,Exam result not published,High
S0602,Exam result not published,High
S0603,Library timings inquiry,Low
S0604,Fee payment issue before deadline,High
S0605,Fee payment issue before deadline,High
S0606,Fee payment issue before deadline,High
S0607,Library access issue,Medium
S0608,Hall ticket not generated before exam,High
S0609,Fee payment issue before deadline,High
S0610,Missed exam due to medical emergency,High
S0611,Library timings inquiry,Low
S0612,Scholarship not credited,High
S0613,Bonafide certificate request,Medium
S0614,Hostel accommodation query,Medium
S0615,Library timings inquiry,Low
S0616,Internship letter request,Medium
S0617,Bonafide certificate request,Medium
S0618,Elective subject change request,Medium
S0619,Bonafide certificate request,Medium
S0620,Exam result not published,High
S0621,Elective subject change request,Medium
S0622,Elective subject change request,Medium
S0623,Internship letter request,Medium
S0624,Hostel accommodation query,Medium
S0625,Missed exam due to medical emergency,High
S0626,Elective subject change request,Medium
S0627,Academic calendar request,Low
S0628,Fee payment issue before deadline,High
S0629,Scholarship not credited,High
S0630,Campus map request,Low
S0631,Website navigation help,Low
S0632,Elective subject change request,Medium
S0633,Scholarship not credited,High
S0634,Hostel accommodation query,Medium
S0635,Exam result not published,High
S0636,Library timings inquiry,Low
S0637,Website navigation help,Low
S0638,Website navigation help,Low
S0639,Missed exam due to medical emergency,High
S0640,Fee payment issue before deadline,High
S0641,Hall ticket not generated before exam,High
S0642,Fee payment issue before deadline,High
S0643,Event information query,Low
S0644,Website navigation help,Low
S0645,Elective subject change request,Medium
S0646,Academic calendar request,Low
S0647,Library timings inquiry,Low
S0648,Fee payment issue before deadline,High
S0649,Exam result not published,High
S0650,Scholarship not credited,High
S0651,Library access issue,Medium
S0652,Campus map request,Low
S0653,Hostel accommodation query,Medium
S0654,Website navigation help,Low
S0655,Hall ticket not generated before exam,High
S0656,Library timings inquiry,Low
S0657,Academic calendar request,Low
S0658,Library access issue,Medium
S0659,Library access issue,Medium
S0660,Elective subject change request,Medium
S0661,Website navigation help,Low
S0662,Website navigation help,Low
S0663,Hostel accommodation query,Medium
S0664,Website navigation help,Low
S0665,Hostel accommodation query,Medium
S0666,Website navigation help,Low
S0667,Hall ticket not generated before exam,High
S0668,Hostel accommodation query,Medium
S0669,Missed exam due to medical emergency,High
S0670,Hall ticket not generated before exam,High
S0671,Campus map request,Low
S0672,Scholarship not credited,High
S0673,Campus map request,Low
S0674,Hostel accommodation query,Medium
S0675,Hall ticket not generated before exam,High
S0676,Scholarship not credited,High
S0677,Academic calendar request,Low
S0678,Bonafide certificate request,Medium
S0679,Hall ticket not generated before exam,High
S0680,Exam result not published,High
S0681,Hall ticket not generated before exam,High
S0682,Elective subject change request,Medium
S0683,Bonafide certificate request,Medium
S0684,Bonafide certificate request,Medium
S0685,Bonafide certificate request,Medium
S0686,Hostel accommodation query,Medium
S0687,Fee payment issue before deadline,High
S0688,Library access issue,Medium
S0689,Internship letter request,Medium
S0690,Fee payment issue before deadline,High
S0691,Library timings inquiry,Low
S0692,Missed exam due to medical emergency,High
S0693,Elective subject change request,Medium
S0694,Hall ticket not generated before exam,High
S0695,Exam result not published,High
S0696,Academic calendar request,Low
S0697,Library access issue,Medium
S0698,Library timings inquiry,Low
S0699,Missed exam due to medical emergency,High
S0700,Library timings inquiry,Low
S0701,Bonafide certificate request,Medium
S0702,Scholarship not credited,High
S0703,Fee payment issue before deadline,High
S0704,Fee payment issue before deadline,High
S0705,Campus map request,Low
S0706,Campus map request,Low
S0707,Library timings inquiry,Low
S0708,Website navigation help,Low
S0709,Website navigation help,Low
S0710,Academic calendar request,Low
S0711,Internship letter request,Medium
S0712,Fee payment issue before deadline,High
S0713,Library access issue,Medium
S0714,Campus map request,Low
S0715,Event information query,Low
S0716,Event information query,Low
S0717,Fee payment issue before deadline,High
S0718,Elective subject change request,Medium
S0719,Exam result not published,High
S0720,Internship letter request,Medium
S0721,Website navigation help,Low
S0722,Bonafide certificate request,Medium
S0723,Elective subject change request,Medium
S0724,Library access issue,Medium
S0725,Bonafide certificate request,Medium
S0726,Internship letter request,Medium
S0727,Academic calendar request,Low
S0728,Exam result not published,High
S0729,Fee payment issue before deadline,High
S0730,Internship letter request,Medium
S0731,Hostel accommodation query,Medium
S0732,Elective subject change request,Medium
S0733,Internship letter request,Medium
S0734,Library timings inquiry,Low
S0735,Bonafide certificate request,Medium
S0736,Library access issue,Medium
S0737,Scholarship not credited,High
S0738,Elective subject change request,Medium
S0739,Academic calendar request,Low
S0740,Fee payment issue before deadline,High
S0741,Hostel accommodation query,Medium
S0742,Missed exam due to medical emergency,High
S0743,Library timings inquiry,Low
S0744,Website navigation help,Low
S0745,Elective subject change request,Medium
S0746,Internship letter request,Medium
S0747,Fee payment issue before deadline,High
S0748,Fee payment issue before deadline,High
S0749,Internship letter request,Medium
S0750,Library access issue,Medium
S0751,Exam result not published,High
S0752,Website navigation help,Low
S0753,Missed exam due to medical emergency,High
S0754,Academic calendar request,Low
S0755,Hostel accommodation query,Medium
S0756,Event information query,Low
S0757,Internship letter request,Medium
S0758,Event information query,Low
S0759,Library timings inquiry,Low
S0760,Hostel accommodation query,Medium
S0761,Bonafide certificate request,Medium
S0762,Exam result not published,High
S0763,Internship letter request,Medium
S0764,Scholarship not credited,High
S0765,Exam result not published,High
S0766,Library access issue,Medium
S0767,Bonafide certificate request,Medium
S0768,Library timings inquiry,Low
S0769,Elective subject change request,Medium
S0770,Internship letter request,Medium
S0771,Academic calendar request,Low
S0772,Hostel accommodation query,Medium
S0773,Campus map request,Low
S0774,Missed exam due to medical emergency,High
S0775,Library timings inquiry,Low
S0776,Fee payment issue before deadline,High
S0777,Hall ticket not generated before exam,High
S0778,Internship letter request,Medium
S0779,Fee payment issue before deadline,High
S0780,Library access issue,Medium
S0781,Hostel accommodation query,Medium
S0782,Elective subject change request,Medium
S0783,Elective subject change request,Medium
S0784,Academic calendar request,Low
S0785,Library access issue,Medium
S0786,Academic calendar request,Low
S0787,Internship letter request,Medium
S0788,Hostel accommodation query,Medium
S0789,Event information query,Low
S0790,Fee payment issue before deadline,High
S0791,Event information query,Low
S0792,Academic calendar request,Low
S0793,Hall ticket not generated before exam,High
S0794,Library access issue,Medium
S0795,Elective subject change request,Medium
S0796,Bonafide certificate request,Medium
S0797,Elective subject change request,Medium
S0798,Missed exam due to medical emergency,High
S0799,Website navigation help,Low
S0800,Missed exam due to medical emergency,High
S0801,Event information query,Low
S0802,Bonafide certificate request,Medium
S0803,Elective subject change request,Medium
S0804,Website navigation help,Low
S0805,Campus map request,Low
S0806,Event information query,Low
S0807,Academic calendar request,Low
S0808,Event information query,Low
S0809,Bonafide certificate request,Medium
S0810,Fee payment issue before deadline,High
S0811,Library access issue,Medium
S0812,Hall ticket not generated before exam,High
S0813,Campus map request,Low
S0814,Exam result not published,High
S0815,Scholarship not credited,High
S0816,Event information query,Low
S0817,Exam result not published,High
S0818,Website navigation help,Low
S0819,Bonafide certificate request,Medium
S0820,Library access issue,Medium
S0821,Fee payment issue before deadline,High
S0822,Missed exam due to medical emergency,High
S0823,Event information query,Low
S0824,Elective subject change request,Medium
S0825,Campus map request,Low
S0826,Exam result not published,High
S0827,Library access issue,Medium
S0828,Fee payment issue before deadline,High
S0829,Missed exam due to medical emergency,High
S0830,Fee payment issue before deadline,High
S0831,Missed exam due to medical emergency,High
S0832,Exam result not published,High
S0833,Missed exam due to medical emergency,High
S0834,Campus map request,Low
S0835,Event information query,Low
S0836,Missed exam due to medical emergency,High
S0837,Hall ticket not generated before exam,High
S0838,Internship letter request,Medium
S0839,Library timings inquiry,Low
S0840,Internship letter request,Medium
S0841,Internship letter request,Medium
S0842,Website navigation help,Low
S0843,Website navigation help,Low
S0844,Library timings inquiry,Low
S0845,Elective subject change request,Medium
S0846,Missed exam due to medical emergency,High
S0847,Hostel accommodation query,Medium
S0848,Library timings inquiry,Low
S0849,Hostel accommodation query,Medium
S0850,Campus map request,Low
S0851,Internship letter request,Medium
S0852,Hall ticket not generated before exam,High
S0853,Hostel accommodation query,Medium
S0854,Scholarship not credited,High
S0855,Fee payment issue before deadline,High
S0856,Scholarship not credited,High
S0857,Website navigation help,Low
S0858,Exam result not published,High
S0859,Campus map request,Low
S0860,Elective subject change request,Medium
S0861,Campus map request,Low
S0862,Bonafide certificate request,Medium
S0863,Hostel accommodation query,Medium
S0864,Campus map request,Low
S0865,Bonafide certificate request,Medium
S0866,Hall ticket not generated before exam,High
S0867,Academic calendar request,Low
S0868,Hostel accommodation query,Medium
S0869,Fee payment issue before deadline,High
S0870,Bonafide certificate request,Medium
S0871,Elective subject change request,Medium
S0872,Academic calendar request,Low
S0873,Event information query,Low
S0874,Library timings inquiry,Low
S0875,Internship letter request,Medium
S0876,Internship letter request,Medium
S0877,Fee payment issue before deadline,High
S0878,Library timings inquiry,Low
S0879,Scholarship not credited,High
S0880,Library timings inquiry,Low
S0881,Scholarship not credited,High
S0882,Library timings inquiry,Low
S0883,Internship letter request,Medium
S0884,Internship letter request,Medium
S0885,Elective subject change request,Medium
S0886,Hostel accommodation query,Medium
